release_time,pre_power_mean_kw,post_power_mean_kw,power_jump_ratio,post_exceeds_pre_by_10pct,pre_wind_mean_ms,pre_power_ref_mean_kw,pre_curtail_fraction,post_curtail_fraction
2025-11-23 16:42:00,1089.6,1098.2,1.01,False,11.91,1263.3,1.0,0.0
2025-11-24 06:03:00,544.9,378.5,0.69,False,9.73,694.4,1.0,0.0
2025-11-24 15:54:00,938.3,1020.8,1.09,False,11.15,1068.3,1.0,0.1
2025-11-24 15:56:00,948.5,1004.4,1.06,False,11.17,1085.0,0.933,0.0
2025-11-24 16:40:00,586.6,631.0,1.08,False,8.99,988.2,0.867,0.0
2025-11-24 23:52:00,256.7,320.8,1.25,True,7.57,350.5,1.0,0.0
2025-11-26 10:29:00,502.1,700.5,1.4,True,9.57,625.6,1.0,0.0
2025-12-01 05:17:00,346.5,308.5,0.89,False,8.18,559.7,1.0,0.0
2025-12-02 05:56:00,609.0,634.3,1.04,False,10.45,713.5,1.0,0.0
2025-12-02 12:22:00,1026.9,1126.2,1.1,False,11.79,1166.3,1.0,0.0
2025-12-04 01:05:00,489.8,375.4,0.77,False,8.88,641.9,1.0,0.0
2025-12-05 11:45:00,989.5,611.4,0.62,False,11.5,1273.3,0.867,0.0
2025-12-05 17:12:00,623.0,570.7,0.92,False,9.28,1031.6,1.0,0.0
2025-12-06 00:31:00,444.1,351.4,0.79,False,8.93,733.9,1.0,0.0
2025-12-07 00:32:00,470.0,345.7,0.74,False,9.72,611.0,1.0,0.0
2025-12-07 10:04:00,445.1,599.9,1.35,True,8.87,650.0,1.0,0.0
2025-12-08 06:30:00,878.5,977.1,1.11,True,10.83,1271.1,1.0,0.0
2025-12-08 14:00:00,1209.3,1317.3,1.09,False,13.28,1239.5,1.0,0.0
2025-12-09 08:14:00,528.7,284.7,0.54,False,9.65,731.8,1.0,0.0
2025-12-09 18:32:00,660.9,1333.2,2.02,True,20.96,167.2,1.0,0.0
2025-12-11 12:53:00,321.3,521.2,1.62,True,7.26,989.1,1.0,0.0
2025-12-12 01:38:00,391.0,498.4,1.27,True,8.62,591.1,1.0,0.0
2025-12-12 13:23:00,563.8,309.6,0.55,False,8.95,1283.5,1.0,0.0
2025-12-14 18:02:00,868.6,988.5,1.14,True,12.99,888.0,1.0,0.0
2025-12-15 06:10:00,401.9,455.1,1.13,True,10.43,520.2,1.0,0.0
2025-12-17 10:54:00,988.8,1314.8,1.33,True,13.3,995.9,1.0,0.1
