dataset,bin_left_ms,bin_right_ms,n_records,n_free,free_support
S2_fixed_70pct,23.0,24.0,15,5,0.3333333333333333
S2_fixed_70pct,24.0,25.0,8,0,0.0
S2_fixed_70pct,25.0,26.0,1,0,0.0
S2_fixed_70pct,26.0,27.0,1,0,0.0
S2_fixed_70pct,27.0,28.0,0,0,
S2_fixed_70pct,28.0,29.0,0,0,
S2_fixed_70pct,29.0,30.0,0,0,
S2_fixed_70pct,30.0,31.0,0,0,
S2_fixed_70pct,31.0,32.0,0,0,
S2_fixed_70pct,32.0,33.0,0,0,
S2_fixed_70pct,33.0,34.0,0,0,
S2_fixed_70pct,34.0,35.0,0,0,
S2_fixed_70pct,35.0,36.0,0,0,
S2_fixed_70pct,36.0,37.0,0,0,
S2_fixed_70pct,37.0,38.0,0,0,
S3_fixed_85pct,0.0,1.0,0,0,
S3_fixed_85pct,1.0,2.0,0,0,
S3_fixed_85pct,2.0,3.0,0,0,
S3_fixed_85pct,3.0,4.0,31,31,1.0
S3_fixed_85pct,4.0,5.0,1926,1926,1.0
S3_fixed_85pct,5.0,6.0,7672,7672,1.0
S3_fixed_85pct,6.0,7.0,11788,11788,1.0
S3_fixed_85pct,7.0,8.0,13050,13050,1.0
S3_fixed_85pct,8.0,9.0,11794,11794,1.0
S3_fixed_85pct,9.0,10.0,9552,9552,1.0
S3_fixed_85pct,10.0,11.0,7459,7457,0.999731867542566
S3_fixed_85pct,11.0,12.0,5447,5002,0.9183036533871856
S3_fixed_85pct,12.0,13.0,3145,1385,0.44038155802861684
S3_fixed_85pct,13.0,14.0,1984,746,0.37600806451612906
S3_fixed_85pct,14.0,15.0,1186,427,0.3600337268128162
S3_fixed_85pct,15.0,16.0,576,210,0.3645833333333333
S3_fixed_85pct,16.0,17.0,273,116,0.4249084249084249
S3_fixed_85pct,17.0,18.0,83,42,0.5060240963855421
S3_fixed_85pct,18.0,19.0,27,16,0.5925925925925926
S3_fixed_85pct,19.0,20.0,14,9,0.6428571428571429
S3_fixed_85pct,20.0,21.0,21,10,0.47619047619047616
S3_fixed_85pct,21.0,22.0,25,5,0.2
S3_fixed_85pct,22.0,23.0,17,3,0.17647058823529413
S3_fixed_85pct,23.0,24.0,15,5,0.3333333333333333
S3_fixed_85pct,24.0,25.0,8,0,0.0
S3_fixed_85pct,25.0,26.0,1,0,0.0
S3_fixed_85pct,26.0,27.0,1,0,0.0
S3_fixed_85pct,27.0,28.0,0,0,
S3_fixed_85pct,28.0,29.0,0,0,
S3_fixed_85pct,29.0,30.0,0,0,
S3_fixed_85pct,30.0,31.0,0,0,
S3_fixed_85pct,31.0,32.0,0,0,
S3_fixed_85pct,32.0,33.0,0,0,
S3_fixed_85pct,33.0,34.0,0,0,
S3_fixed_85pct,34.0,35.0,0,0,
S3_fixed_85pct,35.0,36.0,0,0,
S3_fixed_85pct,36.0,37.0,0,0,
S3_fixed_85pct,37.0,38.0,0,0,
S4_random_uniform,0.0,1.0,0,0,
S4_random_uniform,1.0,2.0,0,0,
S4_random_uniform,2.0,3.0,0,0,
S4_random_uniform,3.0,4.0,31,31,1.0
S4_random_uniform,4.0,5.0,1926,1926,1.0
S4_random_uniform,5.0,6.0,7672,7672,1.0
S4_random_uniform,6.0,7.0,11788,11788,1.0
S4_random_uniform,7.0,8.0,13050,13009,0.9968582375478927
S4_random_uniform,8.0,9.0,11794,11082,0.9396303205019502
S4_random_uniform,9.0,10.0,9552,7689,0.804962311557789
S4_random_uniform,10.0,11.0,7459,5124,0.6869553559458372
S4_random_uniform,11.0,12.0,5447,2944,0.540480998714889
S4_random_uniform,12.0,13.0,3145,1301,0.4136724960254372
S4_random_uniform,13.0,14.0,1984,745,0.3755040322580645
S4_random_uniform,14.0,15.0,1186,427,0.3600337268128162
S4_random_uniform,15.0,16.0,576,210,0.3645833333333333
S4_random_uniform,16.0,17.0,273,116,0.4249084249084249
S4_random_uniform,17.0,18.0,83,42,0.5060240963855421
S4_random_uniform,18.0,19.0,27,16,0.5925925925925926
S4_random_uniform,19.0,20.0,14,9,0.6428571428571429
S4_random_uniform,20.0,21.0,21,10,0.47619047619047616
S4_random_uniform,21.0,22.0,25,5,0.2
S4_random_uniform,22.0,23.0,17,3,0.17647058823529413
S4_random_uniform,23.0,24.0,15,5,0.3333333333333333
S4_random_uniform,24.0,25.0,8,0,0.0
S4_random_uniform,25.0,26.0,1,0,0.0
S4_random_uniform,26.0,27.0,1,0,0.0
S4_random_uniform,27.0,28.0,0,0,
S4_random_uniform,28.0,29.0,0,0,
S4_random_uniform,29.0,30.0,0,0,
S4_random_uniform,30.0,31.0,0,0,
S4_random_uniform,31.0,32.0,0,0,
S4_random_uniform,32.0,33.0,0,0,
S4_random_uniform,33.0,34.0,0,0,
S4_random_uniform,34.0,35.0,0,0,
S4_random_uniform,35.0,36.0,0,0,
S4_random_uniform,36.0,37.0,0,0,
S4_random_uniform,37.0,38.0,0,0,
S5_wind_triggered,0.0,1.0,0,0,
S5_wind_triggered,1.0,2.0,0,0,
S5_wind_triggered,2.0,3.0,0,0,
S5_wind_triggered,3.0,4.0,31,31,1.0
S5_wind_triggered,4.0,5.0,1926,1926,1.0
S5_wind_triggered,5.0,6.0,7672,7672,1.0
S5_wind_triggered,6.0,7.0,11788,11788,1.0
S5_wind_triggered,7.0,8.0,13050,13050,1.0
S5_wind_triggered,8.0,9.0,11794,11794,1.0
S5_wind_triggered,9.0,10.0,9552,9552,1.0
S5_wind_triggered,10.0,11.0,7459,7459,1.0
S5_wind_triggered,11.0,12.0,5447,5447,1.0
