run,contamination_mode,intensity_factor,scenario,model,window_type,n_windows,wis_clean,wis_contaminated,wis_degradation,wis_degradation_relative
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B1,censored,2998,0.1217638832190788,0.13039875190864733,0.008634868689568531,0.07091485965532644
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B1,clean,6924,0.07392395562053819,0.07432509410943715,0.0004011384888989583,0.005426366670069135
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B4_plain,all,9922,0.11892109631252962,0.11800145483388735,-0.0009196414786422635,-0.007733207203416686
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B4_plain,censored,2998,0.20798002172577093,0.2051463768589469,-0.0028336448668240255,-0.013624601263674678
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B4_plain,clean,6924,0.0803597649449823,0.0802688615018353,-9.090344314699461e-05,-0.0011312059363193876
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B4,all,9922,0.1143229697400466,0.11505215822630944,0.0007291884862628412,0.00637832001671149
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B4,censored,2998,0.19728363203826058,0.20004066066832604,0.0027570286300654667,0.013974948664422282
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B4,clean,6924,0.07840210527296898,0.0782532659211151,-0.0001488393518538772,-0.001898410142631631
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B6,all,9922,0.07456375098695449,0.07445067528476539,-0.00011307570218910268,-0.0015164969665875066
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B6,censored,2998,0.06859759006635588,0.06610497368474474,-0.0024926163816111346,-0.03633679228672574
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,B6,clean,6924,0.07714701939249387,0.07806425318725844,0.000917233794764577,0.011889426214874876
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,BQR,all,9922,0.10446597811187952,0.10604842568063802,0.0015824475687584993,0.01514797063464769
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,BQR,censored,2998,0.17086369005765634,0.17603161846591364,0.005167928408257305,0.030245913608171734
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,BQR,clean,6924,0.07571665107354346,0.07574663307950338,2.998200595992484e-05,0.0003959763874237302
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,BT,all,9922,0.07843775938805121,0.07769940294356514,-0.0007383564444860685,-0.009413278123272677
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,BT,censored,2998,0.08402079789712279,0.080643957186791,-0.0033768407103317855,-0.040190533711266054
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,BT,clean,6924,0.07602037789611062,0.0764244500808859,0.0004040721847752837,0.005315314077068762
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,ORACLE,all,9922,0.0754062647058245,0.07480426214628708,-0.0006020025595374207,-0.007983455511103191
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,ORACLE,censored,2998,0.073294076740989,0.06916054184519045,-0.004133534895798555,-0.056396574997538855
pap_benchmark_semisyn_contam100,relative,1.0,S2_fixed_70pct,ORACLE,clean,6924,0.07632081402970907,0.07724791804788843,0.0009271040181793588,0.012147459771831955
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B0_persistence,all,9922,0.1371212576727543,0.1371212576727543,0.0,0.0
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B0_persistence,censored,2211,0.1546541569979414,0.1546541569979414,0.0,0.0
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B0_persistence,clean,7711,0.13209399267366356,0.13209399267366356,0.0,0.0
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B0_climatology,all,9922,0.22681651796752877,0.22681651796752877,0.0,0.0
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B0_climatology,censored,2211,0.42084726703377234,0.42084726703377234,0.0,0.0
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B0_climatology,clean,7711,0.17118145297135906,0.17118145297135906,0.0,0.0
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B1,all,9922,0.08400257831826849,0.08539618314387465,0.0013936048256061595,0.016590024419561
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B1,censored,2211,0.11150131699629548,0.11755044124472916,0.006049124248433679,0.0542515946124175
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B1,clean,7711,0.07611777592984705,0.07617648859569812,5.8712665851071155e-05,0.0007713397446764986
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B4_plain,all,9922,0.08786783258699486,0.08767873550839557,-0.00018909707859929292,-0.0021520626266964596
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B4_plain,censored,2211,0.11931340964738497,0.11900479997041094,-0.00030860967697403374,-0.002586546456815616
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B4_plain,clean,7711,0.07885134044842368,0.07869651160416578,-0.00015482884425789545,-0.0019635537376713123
pap_benchmark_semisyn_contam100,relative,1.0,S3_fixed_85pct,B4,all,9922,0.09018143593370316,0.08999732548944797,-0.0001841104442551894,-0.00204155591834375
