run,contamination_mode,intensity_factor,inference_role,family,scenario,reference,challenger,window_type,n_windows,n_clusters,difference_reference_minus_challenger,ci_low,ci_high,sign_flip_p_two_sided,advantage_retained
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,censored,4134,19,0.0403848357239119,0.034529169963535666,0.05040184216042606,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_censored_likelihood_primary,S1_fixed_50pct,B1,B6,clean,5788,20,-0.0052171648882101615,-0.007904405872944385,-0.0028800764152116087,0.0012299877001229987,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,all,9922,20,0.0031744298737100404,0.0004483999995275703,0.0054430896762914125,0.06111938880611194,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,censored,4134,19,0.007433819448679909,0.003844362837695631,0.009634680188137516,6.999930000699993e-05,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,clean,5788,20,0.0001322190058929298,-0.001545365736471278,0.0019517047750717779,0.9313106868931311,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,all,9922,20,0.0043778012062685185,0.00040354353709782175,0.007699808933977021,0.07842921570784292,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,censored,4134,19,0.012204426483475988,0.007872661497850068,0.01483076679043872,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BT,S1_fixed_50pct,BT,B6,clean,5788,20,-0.0012122590729256198,-0.0038599319329953486,0.0014836279697255318,0.4227957720422796,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S1_fixed_50pct,BQR,B6,all,9922,20,0.07891864186523394,0.03915009204359763,0.10917331252996147,0.00012999870001299986,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S1_fixed_50pct,BQR,B6,censored,4134,19,0.18110627290291734,0.12218412250439081,0.21353316146503706,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S1_fixed_50pct,BQR,B6,clean,5788,20,0.005932521148270694,-0.0034092304989535795,0.015546575591846709,0.36070639293607065,False
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S1_fixed_50pct,BQR,B6,all,9922,20,0.0767691502395084,0.037488928152118677,0.10668373496554683,0.00016999830001699983,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S1_fixed_50pct,BQR,B6,censored,4134,19,0.17756473623393226,0.11830310078813007,0.21020504392509912,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_BQR,S1_fixed_50pct,BQR,B6,clean,5788,20,0.004777278694769584,-0.0042006638435578185,0.013985409020730208,0.44628553714462854,False
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S1_fixed_50pct,B0_persistence,B6,all,9922,20,0.13794785845415386,0.09421191961815059,0.1702883783628704,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S1_fixed_50pct,B0_persistence,B6,censored,4134,19,0.25436557296365697,0.17962301142260578,0.29558606855960445,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S1_fixed_50pct,B0_persistence,B6,clean,5788,20,0.054798094842839734,0.04917699706862594,0.06011512315421297,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S1_fixed_50pct,B0_persistence,B6,all,9922,20,0.13844896798934264,0.09431527888238285,0.17107281655735898,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S1_fixed_50pct,B0_persistence,B6,censored,4134,19,0.2563944076813521,0.1813895785231119,0.29780501541470317,9.99990000099999e-06,True
pap_benchmark_semisyn_contam100,relative,1.0,robustness_no_multiplicity_correction,RQ1_secondary_B6_vs_persistence,S1_fixed_50pct,B0_persistence,B6,clean,5788,20,0.054208047518235686,0.04844006690793387,0.059626941374178184,9.99990000099999e-06,True
pap_benchmark_semisyn,none,0.0,robustness_no_multiplicity_correction,oracle_gap_report_not_confirmatory,S1_fixed_50pct,B6,ORACLE,all,9922,20,0.0005546651213195021,0.00017800306548866867,0.0009183864944306871,0.017199828001719982,True
